store_name,rider_name,store_delivery,rider_store,packaging_time,rating,output
Superstore Save-On-Foods,Yamraj,4.196,2.354,3.6,2,3
Bromley Food Store,Rakesh,4.19,3.037,4.4,5,1
Bloor Street,Janvi,4.168,3.094,2.9,1,5
Market Real,Dipak,4.163,2.226,2.2,3,2
Superstore Save-On-Foods,Ananya,4.16,1.91,4.0,3,2
Sunrise Mart,Sambhavi,4.158,3.102,1.3,2,5
Superstore Save-On-Foods,Pauliene,4.157,1.694,2.4,4,4
Market Real,Janvi,4.151,1.338,6.6,5,3
Sunrise Mart,Vedant,4.145,3.08,2.0,1,2
Clover Grocery,Yamraj,4.141,2.657,4.1,1,4
Pepper’s Grocery,Dipak,4.132,1.995,1.3,4,4
The Grocery Outlet,Vedant,4.13,3.088,3.5,3,2
The Grocery Outlet,Yamraj,4.13,2.646,3.6,5,1
Bloor Street,Pauliene,4.117,2.374,6.4,2,3
The Grocery Outlet,Dipak,4.113,1.716,2.9,1,5
Bromley Food Store,Yamraj,4.111,1.119,6.2,5,1
Pepper’s Grocery,Rahul,4.091,1.075,5.6,2,2
The Grocery Outlet,Anushka,4.091,1.245,6.9,3,2
Pepper’s Grocery,Yamraj,4.091,1.373,1.1,2,5
The Grocery Outlet,Anushka,4.084,2.447,1.7,3,1
Market Real,Rahul,4.081,2.437,2.3,3,4
Superstore Save-On-Foods,Pauliene,4.074,2.744,1.1,2,4
The Grocery Outlet,Sambhavi,4.065,3.109,6.2,1,1
Pepper’s Grocery,Rakesh,4.063,3.061,3.5,3,4
Clover Grocery,Vedant,4.062,2.807,3.4,5,1
Superstore Save-On-Foods,Yamraj,4.061,3.946,6.8,5,4
Pepper’s Grocery,Rakesh,4.059,1.701,3.8,5,2
Bromley Food Store,Sambhavi,4.054,3.244,3.8,3,2
Pepper’s Grocery,Sambhavi,4.051,2.686,5.4,4,3
Sunrise Mart,Sambhavi,4.049,2.924,1.3,4,2
Sunrise Mart,Janvi,4.025,2.051,2.2,5,4
Bromley Food Store,Yamraj,4.016,2.954,1.2,5,5
Pepper’s Grocery,Anushka,4.007,2.797,5.8,2,5
Market Real,Janvi,4.003,2.773,2.9,1,2
Clover Grocery,Karthikey,3.998,2.293,3.3,3,4
Bromley Food Store,Dipak,3.998,3.305,5.3,3,3
Market Real,Ananya,3.995,2.425,5.0,1,2
The Grocery Outlet,Janvi,3.991,1.518,1.7,4,3
Clover Grocery,Rahul,3.989,3.107,5.3,1,3
Pepper’s Grocery,Rakesh,3.981,3.308,6.2,5,1
Sunrise Mart,Anushka,3.98,3.024,1.4,1,5
The Grocery Outlet,Janvi,3.979,3.648,6.1,2,1
Superstore Save-On-Foods,Anushka,3.978,1.101,6.3,2,2
Market Real,Rahul,3.972,3.87,2.5,1,5
Bromley Food Store,Rakesh,3.971,1.45,6.6,4,1
The Grocery Outlet,Vedant,3.97,3.683,2.3,5,3
Bloor Street,Rakesh,3.962,2.463,6.6,4,3
Clover Grocery,Rakesh,3.961,2.972,4.4,4,4
Pepper’s Grocery,Janvi,3.955,2.976,5.7,4,1
Market Real,Sambhavi,3.939,3.643,4.3,5,5
Bromley Food Store,Rahul,3.939,3.272,4.3,2,1
Bloor Street,Rahul,3.933,2.901,3.0,3,4
Bloor Street,Vedant,3.926,3.751,5.9,5,5
Market Real,Vedant,3.925,1.243,6.9,1,3
Superstore Save-On-Foods,Ananya,3.915,1.077,3.1,5,2
Bromley Food Store,Rakesh,3.915,2.117,5.3,1,3
Market Real,Yamraj,3.914,3.171,5.8,4,5
Sunrise Mart,Pauliene,3.914,2.292,6.9,1,2
Superstore Save-On-Foods,Anushka,3.912,3.366,5.6,5,1
Clover Grocery,Pauliene,3.906,1.734,4.5,5,1
Sunrise Mart,Sambhavi,3.889,3.514,6.0,4,2
The Grocery Outlet,Sambhavi,3.874,1.236,4.3,4,5
Market Real,Sambhavi,3.871,2.007,2.8,5,1
Market Real,Dipak,3.869,3.647,6.7,4,3
Market Real,Sambhavi,3.854,3.999,3.8,5,5
Pepper’s Grocery,Karthikey,3.847,1.033,2.3,2,4
The Grocery Outlet,Janvi,3.84,1.412,5.2,1,4
Pepper’s Grocery,Pauliene,3.837,2.696,6.5,1,3
Superstore Save-On-Foods,Pauliene,3.834,3.38,6.3,2,2
Pepper’s Grocery,Vedant,3.833,2.33,4.0,4,2
Superstore Save-On-Foods,Ananya,3.828,1.851,2.8,1,1
Market Real,Rahul,3.828,1.151,6.7,5,4
Clover Grocery,Vedant,3.817,3.49,5.9,2,5
Sunrise Mart,Vedant,3.811,3.253,5.4,4,1
Clover Grocery,Rahul,3.804,1.156,1.1,3,2
Bromley Food Store,Vedant,3.803,3.116,2.6,3,1
Bromley Food Store,Yamraj,3.802,1.14,3.4,1,2
Clover Grocery,Sambhavi,3.795,2.49,1.7,5,2
Clover Grocery,Anushka,3.787,3.793,1.3,3,4
Bromley Food Store,Sambhavi,3.785,3.748,3.0,1,1
Market Real,Vedant,3.783,1.027,3.4,2,2
The Grocery Outlet,Karthikey,3.776,3.723,4.6,3,5
Market Real,Dipak,3.773,3.589,5.1,1,5
The Grocery Outlet,Ananya,3.771,2.38,6.6,3,3
Pepper’s Grocery,Dipak,3.76,2.686,1.7,3,4
Bloor Street,Janvi,3.756,1.47,3.4,1,4
The Grocery Outlet,Janvi,3.749,3.849,1.6,4,1
Bromley Food Store,Janvi,3.747,2.722,5.3,3,3
Pepper’s Grocery,Dipak,3.744,1.194,1.9,1,3
Bromley Food Store,Rahul,3.742,3.233,1.4,2,2
Pepper’s Grocery,Anushka,3.739,2.135,6.1,5,3
Market Real,Anushka,3.719,3.722,3.7,4,3
Sunrise Mart,Rahul,3.719,1.795,1.2,4,2
Bloor Street,Janvi,3.715,1.075,1.4,2,5
Bromley Food Store,Ananya,3.713,1.071,3.7,1,1
Clover Grocery,Anushka,3.708,1.625,5.0,2,1
Bromley Food Store,Karthikey,3.707,2.275,3.3,5,3
Clover Grocery,Rakesh,3.703,1.71,1.8,2,5
Market Real,Janvi,3.701,1.524,4.3,2,4
Bloor Street,Anushka,3.7,2.118,4.3,3,3
Bloor Street,Anushka,3.695,1.737,2.2,3,5
Bloor Street,Pauliene,3.692,2.891,3.4,3,4
Superstore Save-On-Foods,Vedant,3.69,2.168,2.9,5,3
The Grocery Outlet,Rakesh,3.677,2.503,3.4,5,2
Bloor Street,Rahul,3.652,3.925,3.4,5,5
Clover Grocery,Vedant,3.625,2.814,3.0,1,2
The Grocery Outlet,Sambhavi,3.622,2.321,6.2,3,3
Superstore Save-On-Foods,Yamraj,3.621,3.9,2.5,2,3
The Grocery Outlet,Ananya,3.619,2.243,1.2,4,3
The Grocery Outlet,Dipak,3.612,1.512,1.2,4,1
The Grocery Outlet,Rakesh,3.606,1.453,4.5,2,2
The Grocery Outlet,Rahul,3.598,1.94,2.5,2,2
Market Real,Anushka,3.593,2.645,5.5,5,5
Sunrise Mart,Rahul,3.581,3.326,1.3,4,4
Market Real,Rahul,3.58,2.388,3.9,1,2
Bloor Street,Karthikey,3.576,3.73,2.7,1,1
Sunrise Mart,Yamraj,3.574,1.386,1.7,5,1
Bloor Street,Pauliene,3.572,1.76,3.8,1,1
Superstore Save-On-Foods,Rahul,3.566,3.146,6.1,4,4
Bloor Street,Rakesh,3.562,3.11,3.4,4,4
Market Real,Janvi,3.554,1.076,3.0,1,4
Clover Grocery,Anushka,3.544,3.017,3.1,3,2
Pepper’s Grocery,Karthikey,3.542,1.266,5.2,1,2
Superstore Save-On-Foods,Pauliene,3.523,3.866,6.2,5,4
Bromley Food Store,Anushka,3.51,2.134,5.1,1,3
Sunrise Mart,Ananya,3.507,2.679,3.9,4,3
Bloor Street,Dipak,3.491,2.022,6.5,3,4
Market Real,Vedant,3.477,3.055,6.5,4,2
Clover Grocery,Ananya,3.464,3.271,6.6,2,1
Pepper’s Grocery,Rakesh,3.458,2.38,2.0,3,2
Bromley Food Store,Pauliene,3.457,2.708,6.9,3,2
Bromley Food Store,Rakesh,3.444,1.125,4.4,2,4
Sunrise Mart,Sambhavi,3.443,3.938,2.4,1,1
Bloor Street,Anushka,3.438,2.102,1.2,4,2
Bromley Food Store,Dipak,3.424,2.574,5.7,3,5
Clover Grocery,Pauliene,3.423,3.423,1.8,5,3
Superstore Save-On-Foods,Rahul,3.42,3.32,3.7,2,4
Clover Grocery,Janvi,3.419,2.941,6.0,4,2
Market Real,Sambhavi,3.412,3.287,1.6,5,4
Bromley Food Store,Janvi,3.41,3.762,6.0,5,2
Sunrise Mart,Dipak,3.407,1.538,1.4,5,4
Bloor Street,Ananya,3.388,3.498,5.8,5,1
Superstore Save-On-Foods,Rahul,3.386,3.264,6.1,3,4
Superstore Save-On-Foods,Anushka,3.385,1.041,1.6,4,1
Superstore Save-On-Foods,Sambhavi,3.385,1.99,1.1,3,2
Clover Grocery,Pauliene,3.384,1.614,4.0,5,4
Bloor Street,Janvi,3.378,1.339,2.7,1,4
Pepper’s Grocery,Sambhavi,3.366,3.976,6.9,1,2
Superstore Save-On-Foods,Sambhavi,3.361,2.816,2.5,1,2
Sunrise Mart,Janvi,3.359,3.893,3.4,4,3
Superstore Save-On-Foods,Pauliene,3.353,2.845,4.4,5,4
Pepper’s Grocery,Yamraj,3.345,2.783,2.0,1,2
Superstore Save-On-Foods,Yamraj,3.337,2.739,2.4,1,2
Clover Grocery,Pauliene,3.335,2.611,2.0,3,5
Bloor Street,Ananya,3.328,1.559,3.0,5,2
Sunrise Mart,Sambhavi,3.327,3.153,2.3,3,5
The Grocery Outlet,Vedant,3.323,2.704,6.5,5,1
Sunrise Mart,Yamraj,3.322,2.952,5.9,4,2
Pepper’s Grocery,Anushka,3.3,1.665,3.6,3,3
Superstore Save-On-Foods,Anushka,3.298,1.043,1.2,2,4
Bloor Street,Rakesh,3.287,2.408,5.6,3,3
Market Real,Anushka,3.281,3.92,3.6,5,1
Clover Grocery,Sambhavi,3.267,2.512,4.3,1,1
Bloor Street,Ananya,3.267,3.069,1.6,4,3
Superstore Save-On-Foods,Dipak,3.266,1.338,2.5,4,5
Bloor Street,Sambhavi,3.247,1.785,5.6,3,2
Bromley Food Store,Rakesh,3.244,3.812,2.3,5,2
Bloor Street,Rakesh,3.24,3.775,5.3,1,5
Bromley Food Store,Rahul,3.22,1.763,6.1,4,2
Sunrise Mart,Anushka,3.21,3.232,4.9,4,3
Market Real,Rakesh,3.209,1.923,1.1,5,5
Clover Grocery,Ananya,3.206,2.684,1.7,5,3
The Grocery Outlet,Rakesh,3.206,3.589,5.2,2,2
Market Real,Rahul,3.192,1.965,6.2,2,1
Pepper’s Grocery,Vedant,3.188,2.049,1.4,3,3
The Grocery Outlet,Vedant,3.187,1.269,1.6,1,5
The Grocery Outlet,Rahul,3.185,2.895,3.7,5,1
Bloor Street,Vedant,3.176,1.918,4.1,5,4
Bloor Street,Rakesh,3.175,2.472,2.0,4,3
Superstore Save-On-Foods,Janvi,3.172,3.304,4.1,1,3
Market Real,Dipak,3.161,2.66,5.4,4,1
Pepper’s Grocery,Yamraj,3.154,3.016,3.8,2,2
Market Real,Rahul,3.153,1.592,3.7,3,5
Market Real,Rahul,3.15,3.178,1.9,3,1
Bromley Food Store,Ananya,3.144,2.277,6.9,5,1
Bromley Food Store,Anushka,3.143,2.235,1.4,3,4
Pepper’s Grocery,Karthikey,3.143,2.888,2.0,5,3
Superstore Save-On-Foods,Yamraj,3.136,3.772,4.5,2,5
Bloor Street,Pauliene,3.135,3.712,1.8,1,2
Superstore Save-On-Foods,Dipak,3.125,3.596,2.3,2,3
Bromley Food Store,Karthikey,3.119,3.707,1.5,5,4
Bromley Food Store,Sambhavi,3.11,2.901,6.8,5,5
Bromley Food Store,Rakesh,3.109,3.836,2.3,3,2
Bromley Food Store,Vedant,3.105,1.669,2.1,2,3
Bloor Street,Dipak,3.098,3.775,2.4,4,3
Market Real,Anushka,3.092,2.046,5.8,5,1
Clover Grocery,Anushka,3.072,1.786,6.0,3,1
Clover Grocery,Rahul,3.059,3.129,3.8,4,5
Pepper’s Grocery,Rakesh,3.046,3.636,4.5,5,2
Pepper’s Grocery,Rahul,3.038,2.2,3.7,4,5
Clover Grocery,Rakesh,3.026,2.052,5.0,4,4
Clover Grocery,Sambhavi,3.018,1.129,2.4,4,3
The Grocery Outlet,Vedant,3.017,3.427,6.0,4,2
Clover Grocery,Rahul,3.01,1.15,5.0,2,4
Pepper’s Grocery,Rahul,3.006,1.55,2.4,2,4
Bloor Street,Karthikey,3.001,2.8,2.7,4,2
Superstore Save-On-Foods,Rakesh,3.0,3.493,5.6,5,1
Market Real,Rakesh,2.997,1.472,5.0,4,4
Sunrise Mart,Ananya,2.992,2.002,5.1,1,5
Superstore Save-On-Foods,Yamraj,2.987,3.709,1.8,5,4
Pepper’s Grocery,Dipak,2.983,2.999,6.6,3,2
Superstore Save-On-Foods,Rahul,2.982,2.285,2.4,2,4
Market Real,Ananya,2.981,3.189,2.6,5,2
Bromley Food Store,Rahul,2.979,1.485,2.5,3,3
Market Real,Janvi,2.978,1.148,3.9,1,1
Market Real,Rakesh,2.975,2.974,1.1,3,3
Pepper’s Grocery,Janvi,2.975,3.073,6.7,1,5
Bloor Street,Karthikey,2.969,1.616,3.2,3,4
Bromley Food Store,Karthikey,2.967,1.381,3.3,3,2
Superstore Save-On-Foods,Karthikey,2.967,1.455,2.6,1,4
The Grocery Outlet,Janvi,2.966,3.873,1.8,3,1
Bloor Street,Karthikey,2.963,2.72,3.8,4,4
Market Real,Anushka,2.952,3.049,5.1,4,5
Market Real,Sambhavi,2.951,3.676,3.3,2,3
Superstore Save-On-Foods,Dipak,2.947,3.06,4.4,3,4
Bromley Food Store,Rahul,2.939,1.102,5.6,5,3
Bromley Food Store,Karthikey,2.938,2.269,5.3,2,2
Market Real,Pauliene,2.929,1.938,1.6,4,2
Market Real,Anushka,2.92,1.201,1.2,2,2
Sunrise Mart,Janvi,2.913,2.601,1.4,3,4
Sunrise Mart,Vedant,2.91,3.374,6.2,2,2
Market Real,Ananya,2.904,3.265,6.4,3,4
The Grocery Outlet,Dipak,2.898,3.129,3.7,4,5
Clover Grocery,Anushka,2.888,1.981,5.7,1,2
The Grocery Outlet,Anushka,2.872,1.216,5.0,2,5
Market Real,Karthikey,2.83,1.678,3.8,3,1
Pepper’s Grocery,Rakesh,2.822,3.439,6.5,1,1
The Grocery Outlet,Rahul,2.821,2.051,1.9,1,2
Bloor Street,Karthikey,2.809,1.077,5.4,5,5
Sunrise Mart,Pauliene,2.807,2.935,5.8,4,2
The Grocery Outlet,Rahul,2.799,1.498,2.2,2,2
Market Real,Yamraj,2.776,2.386,3.9,2,1
Market Real,Anushka,2.773,1.712,6.5,1,4
Market Real,Sambhavi,2.763,3.299,6.7,5,3
Clover Grocery,Rahul,2.761,3.45,4.2,5,3
Market Real,Yamraj,2.758,1.451,3.1,4,1
Clover Grocery,Dipak,2.752,2.958,4.2,4,4
Pepper’s Grocery,Sambhavi,2.741,3.172,2.2,3,4
Clover Grocery,Pauliene,2.735,3.547,3.9,4,4
Sunrise Mart,Sambhavi,2.732,2.558,5.0,5,1
Bromley Food Store,Ananya,2.725,1.102,5.4,3,5
The Grocery Outlet,Anushka,2.723,1.567,3.3,1,5
Bromley Food Store,Yamraj,2.716,3.172,4.7,2,3
Bloor Street,Yamraj,2.71,2.657,3.7,1,5
Pepper’s Grocery,Karthikey,2.707,3.173,1.4,1,3
Bromley Food Store,Pauliene,2.706,2.89,1.1,3,3
Bloor Street,Yamraj,2.706,3.36,1.8,1,1
Bloor Street,Dipak,2.705,1.051,4.7,5,4
Superstore Save-On-Foods,Vedant,2.699,3.413,1.6,3,2
Superstore Save-On-Foods,Janvi,2.685,3.398,4.3,1,4
Market Real,Rakesh,2.673,2.123,4.1,5,2
Bloor Street,Dipak,2.667,3.052,4.3,1,4
Market Real,Sambhavi,2.664,1.727,2.1,4,4
Clover Grocery,Yamraj,2.66,3.021,4.0,5,1
Sunrise Mart,Vedant,2.658,1.513,1.0,1,1
Bromley Food Store,Ananya,2.652,1.136,4.9,5,4
Superstore Save-On-Foods,Dipak,2.639,3.944,2.9,2,5
Sunrise Mart,Vedant,2.637,3.716,5.5,2,4
Sunrise Mart,Rakesh,2.635,3.845,3.3,1,4
Clover Grocery,Vedant,2.632,2.573,2.5,4,5
Superstore Save-On-Foods,Dipak,2.614,2.678,6.0,5,3
Market Real,Vedant,2.61,3.388,3.7,5,4
Sunrise Mart,Anushka,2.609,1.235,4.6,2,1
Superstore Save-On-Foods,Rahul,2.599,3.853,4.8,3,5
Market Real,Rakesh,2.599,3.383,3.7,2,4
Superstore Save-On-Foods,Sambhavi,2.595,2.137,4.2,4,4
Superstore Save-On-Foods,Sambhavi,2.592,3.901,3.8,2,5
Bromley Food Store,Janvi,2.59,1.181,6.4,1,5
Market Real,Janvi,2.589,1.925,1.9,4,3
Bloor Street,Pauliene,2.582,2.78,2.1,1,3
The Grocery Outlet,Janvi,2.581,3.943,5.8,1,5
Market Real,Pauliene,2.576,2.61,2.9,5,3
Sunrise Mart,Rahul,2.566,3.03,1.8,2,5
Market Real,Rahul,2.563,2.26,1.6,5,4
Pepper’s Grocery,Ananya,2.557,1.836,4.8,1,4
Clover Grocery,Karthikey,2.554,2.959,6.4,5,1
Clover Grocery,Rakesh,2.543,1.372,2.2,3,3
Clover Grocery,Rakesh,2.542,1.768,1.2,4,4
Bloor Street,Karthikey,2.541,3.194,2.3,5,5
The Grocery Outlet,Anushka,2.539,3.285,4.8,1,5
Market Real,Anushka,2.538,3.147,5.9,3,5
Bloor Street,Anushka,2.529,3.445,2.8,1,3
Superstore Save-On-Foods,Karthikey,2.525,3.571,4.3,1,1
Superstore Save-On-Foods,Pauliene,2.521,2.659,1.2,2,4
Sunrise Mart,Rakesh,2.518,3.107,5.7,2,1
Superstore Save-On-Foods,Pauliene,2.514,3.499,6.1,5,5
Sunrise Mart,Janvi,2.501,3.746,5.1,3,1
Market Real,Janvi,2.498,3.421,7.0,3,3
Market Real,Ananya,2.493,2.614,7.0,3,1
Clover Grocery,Janvi,2.492,1.038,5.3,1,2
Bromley Food Store,Karthikey,2.491,1.635,5.7,5,3
The Grocery Outlet,Anushka,2.491,1.381,1.6,1,4
Market Real,Ananya,2.491,2.344,4.6,5,3
Pepper’s Grocery,Yamraj,2.489,3.144,1.6,5,3
The Grocery Outlet,Vedant,2.464,2.093,3.3,1,4
The Grocery Outlet,Karthikey,2.45,1.934,4.7,4,5
The Grocery Outlet,Rahul,2.445,2.168,6.9,2,3
The Grocery Outlet,Pauliene,2.444,1.062,3.4,4,5
Pepper’s Grocery,Rakesh,2.443,1.372,2.3,2,1
Bloor Street,Yamraj,2.443,1.64,2.3,3,4
Superstore Save-On-Foods,Ananya,2.437,3.801,1.4,2,1
Superstore Save-On-Foods,Anushka,2.434,2.374,7.0,5,3
Clover Grocery,Rahul,2.433,1.699,5.3,3,3
Pepper’s Grocery,Janvi,2.422,3.736,6.0,5,1
Bloor Street,Rakesh,2.419,2.14,3.3,1,1
Bromley Food Store,Rahul,2.418,2.061,5.9,1,5
Market Real,Pauliene,2.41,2.426,2.3,5,3
The Grocery Outlet,Janvi,2.41,1.178,3.0,5,5
Sunrise Mart,Rahul,2.406,3.133,4.2,3,5
Bloor Street,Vedant,2.402,1.256,2.9,5,2
Superstore Save-On-Foods,Pauliene,2.4,2.509,2.7,3,4
Sunrise Mart,Vedant,2.399,3.199,5.2,4,5
The Grocery Outlet,Yamraj,2.398,1.298,2.6,1,5
Market Real,Anushka,2.394,2.839,1.2,5,5
Bloor Street,Karthikey,2.388,1.913,4.8,5,4
The Grocery Outlet,Rahul,2.386,1.914,1.8,3,2
Bloor Street,Karthikey,2.383,2.057,6.0,4,1
Bromley Food Store,Anushka,2.359,3.905,1.9,1,1
Bloor Street,Ananya,2.358,1.039,2.8,3,3
Clover Grocery,Rakesh,2.346,1.42,3.0,4,3
Pepper’s Grocery,Anushka,2.34,1.513,1.9,4,1
Bloor Street,Karthikey,2.337,2.508,3.9,2,5
Clover Grocery,Dipak,2.327,1.104,3.8,4,2
The Grocery Outlet,Rahul,2.323,3.681,4.7,5,1
Bromley Food Store,Pauliene,2.32,1.13,3.4,4,3
Superstore Save-On-Foods,Karthikey,2.308,2.936,6.3,5,4
Clover Grocery,Anushka,2.3,2.769,5.1,3,1
Market Real,Ananya,2.297,3.177,6.4,2,3
Clover Grocery,Ananya,2.283,1.325,4.8,1,3
The Grocery Outlet,Pauliene,2.273,1.146,1.7,5,5
Bloor Street,Anushka,2.265,3.317,4.3,3,1
Clover Grocery,Sambhavi,2.256,3.359,5.5,1,1
Sunrise Mart,Yamraj,2.251,1.757,6.7,2,5
Clover Grocery,Ananya,2.246,3.795,2.0,1,5
Superstore Save-On-Foods,Anushka,2.237,1.522,6.6,1,3
Bloor Street,Anushka,2.222,3.694,5.6,1,3
Bromley Food Store,Anushka,2.215,3.995,6.2,2,3
Market Real,Pauliene,2.208,3.943,1.4,5,2
Bloor Street,Ananya,2.207,2.313,5.2,4,4
Clover Grocery,Rahul,2.203,1.852,2.7,4,3
Pepper’s Grocery,Rakesh,2.2,2.687,5.8,5,4
Sunrise Mart,Ananya,2.196,1.929,4.7,2,5
The Grocery Outlet,Janvi,2.195,3.218,4.7,4,4
Bromley Food Store,Vedant,2.194,1.056,2.6,3,5
Sunrise Mart,Sambhavi,2.193,2.202,6.7,4,3
Bromley Food Store,Dipak,2.192,2.317,5.1,3,1
Superstore Save-On-Foods,Yamraj,2.191,3.904,3.4,3,1
Market Real,Karthikey,2.191,3.165,6.8,1,1
Superstore Save-On-Foods,Vedant,2.181,3.352,1.4,1,5
Sunrise Mart,Karthikey,2.18,2.36,4.7,1,4
Superstore Save-On-Foods,Yamraj,2.177,1.267,2.4,4,4
Market Real,Rakesh,2.176,1.7,4.6,3,1
Market Real,Vedant,2.153,3.765,2.2,5,5
Bloor Street,Karthikey,2.148,1.594,1.8,1,2
Sunrise Mart,Sambhavi,2.137,2.76,6.3,3,1
Bloor Street,Dipak,2.131,1.651,2.4,5,1
The Grocery Outlet,Dipak,2.128,1.575,2.5,3,4
Market Real,Dipak,2.11,2.228,6.8,1,4
Bloor Street,Anushka,2.096,2.923,3.8,1,4
Bromley Food Store,Anushka,2.091,2.44,6.7,2,2
Market Real,Yamraj,2.086,3.509,6.6,1,3
Superstore Save-On-Foods,Rahul,2.085,1.534,5.3,3,3
Market Real,Janvi,2.077,1.333,5.3,5,1
Bloor Street,Vedant,2.071,2.481,4.2,5,4
Pepper’s Grocery,Sambhavi,2.065,3.173,6.7,1,2
Sunrise Mart,Sambhavi,2.065,1.092,5.3,2,5
Pepper’s Grocery,Dipak,2.062,3.659,6.8,5,1
Superstore Save-On-Foods,Rakesh,2.059,3.824,4.6,4,3
Pepper’s Grocery,Anushka,2.052,3.331,2.2,5,3
The Grocery Outlet,Rahul,2.039,3.251,2.4,3,4
Bromley Food Store,Vedant,2.036,2.459,3.7,2,5
Bromley Food Store,Janvi,2.029,3.12,6.3,1,2
Bloor Street,Ananya,2.017,2.878,1.6,3,1
Market Real,Anushka,2.016,1.281,1.8,1,4
Bromley Food Store,Yamraj,2.015,2.512,5.2,4,1
Sunrise Mart,Pauliene,2.015,3.908,4.3,5,5
Pepper’s Grocery,Pauliene,2.005,1.121,2.9,1,4
Bloor Street,Anushka,1.998,2.62,4.9,3,2
Sunrise Mart,Rakesh,1.993,1.74,6.8,1,5
Pepper’s Grocery,Rahul,1.987,3.782,3.7,1,4
Market Real,Ananya,1.984,3.643,3.7,4,3
Market Real,Anushka,1.984,2.711,1.6,3,2
Superstore Save-On-Foods,Rahul,1.977,1.608,5.2,3,2
Superstore Save-On-Foods,Pauliene,1.976,1.867,5.2,4,2
Pepper’s Grocery,Rakesh,1.974,1.136,3.8,3,2
Sunrise Mart,Pauliene,1.971,1.462,2.2,2,4
The Grocery Outlet,Karthikey,1.971,3.428,6.3,5,4
Bloor Street,Rahul,1.963,1.749,2.0,5,2
Superstore Save-On-Foods,Janvi,1.96,3.483,5.3,3,1
Superstore Save-On-Foods,Vedant,1.946,1.549,3.0,4,4
Bloor Street,Yamraj,1.937,1.116,1.4,3,3
The Grocery Outlet,Yamraj,1.935,2.779,4.4,1,5
Bromley Food Store,Ananya,1.92,1.932,1.8,5,2
Sunrise Mart,Ananya,1.919,1.061,3.5,2,3
Superstore Save-On-Foods,Anushka,1.916,1.582,6.0,4,4
The Grocery Outlet,Pauliene,1.911,3.521,3.6,5,4
Superstore Save-On-Foods,Ananya,1.91,1.991,4.1,2,1
Superstore Save-On-Foods,Vedant,1.902,3.492,1.7,2,3
Pepper’s Grocery,Dipak,1.884,3.736,3.4,5,1
Bromley Food Store,Dipak,1.882,1.484,4.0,5,1
Sunrise Mart,Rahul,1.879,2.229,6.2,5,2
Sunrise Mart,Dipak,1.877,3.708,3.0,3,1
Superstore Save-On-Foods,Dipak,1.876,3.095,6.2,1,4
Market Real,Dipak,1.872,2.431,3.2,3,5
The Grocery Outlet,Sambhavi,1.869,2.361,6.9,4,1
Sunrise Mart,Vedant,1.867,2.226,7.0,5,4
The Grocery Outlet,Rakesh,1.865,3.176,5.4,1,2
The Grocery Outlet,Sambhavi,1.849,2.624,6.4,1,4
Superstore Save-On-Foods,Dipak,1.835,2.774,3.3,1,5
Bromley Food Store,Karthikey,1.831,1.005,6.0,4,3
The Grocery Outlet,Yamraj,1.822,2.763,3.7,1,5
Clover Grocery,Rakesh,1.817,1.53,3.0,4,5
Clover Grocery,Anushka,1.813,3.336,3.0,5,2
Bloor Street,Rakesh,1.812,2.307,5.2,5,1
Bloor Street,Rahul,1.812,1.031,6.2,4,5
Clover Grocery,Rakesh,1.797,1.753,6.6,1,5
The Grocery Outlet,Rahul,1.795,2.522,1.5,3,4
Bloor Street,Janvi,1.79,1.833,2.7,1,4
Market Real,Dipak,1.786,3.281,5.0,3,5
Superstore Save-On-Foods,Rakesh,1.779,1.474,4.9,5,2
Sunrise Mart,Rahul,1.767,3.023,5.2,2,5
Pepper’s Grocery,Sambhavi,1.765,2.334,5.5,2,4
Market Real,Rahul,1.763,3.818,2.6,1,1
The Grocery Outlet,Janvi,1.754,2.399,5.2,2,4
Superstore Save-On-Foods,Vedant,1.744,1.362,3.2,2,4
Market Real,Yamraj,1.737,2.487,2.5,3,5
Superstore Save-On-Foods,Pauliene,1.732,1.285,6.1,3,1
Clover Grocery,Vedant,1.731,1.066,1.6,1,1
Sunrise Mart,Dipak,1.73,1.117,3.1,2,1
Bromley Food Store,Karthikey,1.722,3.304,2.7,1,5
Bromley Food Store,Ananya,1.716,2.194,3.6,2,1
Sunrise Mart,Rahul,1.714,3.888,5.9,1,1
Superstore Save-On-Foods,Ananya,1.713,2.175,3.5,3,4
The Grocery Outlet,Ananya,1.7,3.109,1.7,2,3
Bromley Food Store,Yamraj,1.696,1.943,6.5,2,2
Market Real,Ananya,1.687,1.132,4.6,2,3
Clover Grocery,Ananya,1.656,3.626,6.6,4,1
Bromley Food Store,Yamraj,1.631,2.869,5.2,5,2
Superstore Save-On-Foods,Janvi,1.63,3.965,5.9,4,1
Superstore Save-On-Foods,Ananya,1.62,1.457,2.9,1,2
Bromley Food Store,Rahul,1.617,3.465,4.8,4,5
Bromley Food Store,Pauliene,1.602,2.207,1.2,3,2
Superstore Save-On-Foods,Anushka,1.6,3.424,6.3,1,5
Bloor Street,Rakesh,1.6,3.303,6.1,2,1
Sunrise Mart,Anushka,1.599,1.828,2.1,3,5
Bromley Food Store,Karthikey,1.589,3.762,5.2,2,3
The Grocery Outlet,Vedant,1.587,1.337,6.4,1,2
Superstore Save-On-Foods,Janvi,1.579,2.884,2.4,1,5
Clover Grocery,Rahul,1.578,1.662,3.8,2,1
